"","Regulator","Target","RegulatorType","TargetType","regulatory_Mechanism"
"1","NEAT1","miR-194-5p","lncRNA","miRNA","ceRNA or sponge"
"2","LINC00460","miR-206","lncRNA","miRNA","ceRNA or sponge"
"3","MALAT1","miR-497","lncRNA","miRNA","ceRNA or sponge"
"4","MIAT","miR-29b","lncRNA","miRNA","ceRNA or sponge"
"5","CDKN2B-AS1","miR-181a-5p","lncRNA","miRNA","ceRNA or sponge"
"6","GAS5","MIR21","lncRNA","miRNA","ceRNA or sponge"
"7","MALAT1","miR-216b","lncRNA","miRNA","ceRNA or sponge"
"8","CASC2","miR-214","lncRNA","miRNA","ceRNA or sponge"
"9","PCED1B-AS1","miR-155","lncRNA","miRNA","ceRNA or sponge"
"10","LINC00662","miR-340-5p","lncRNA","miRNA","ceRNA or sponge"
"11","SNHG6","miR-26b-5p","lncRNA","miRNA","ceRNA or sponge"
"12","MALAT1","miR-429","lncRNA","miRNA","ceRNA or sponge"
"13","OIP5-AS1","miR-203","lncRNA","miRNA","ceRNA or sponge"
"14","XIST","miR-27b-3p","lncRNA","miRNA","ceRNA or sponge"
"15","SNHG14","miR-152-3p","lncRNA","miRNA","ceRNA or sponge"
"16","SNHG17","miR-942","lncRNA","miRNA","ceRNA or sponge"
"17","HULC","miR-122","lncRNA","miRNA","ceRNA or sponge"
"18","DSCAM-AS1","miR-136","lncRNA","miRNA","ceRNA or sponge"
"19","TTN-AS1","miR-376b-3p","lncRNA","miRNA","ceRNA or sponge"
"20","SNHG16","miR-98-5p","lncRNA","miRNA","ceRNA or sponge"
"21","HOTAIR","miR-218","lncRNA","miRNA","ceRNA or sponge"
"22","FOXD3-AS1","miR-150","lncRNA","miRNA","ceRNA or sponge"
"23","H19","let-7b","lncRNA","miRNA","ceRNA or sponge"
"24","MEG3","miR-223","lncRNA","miRNA","ceRNA or sponge"
"25","PVT1","miR-488-3p","lncRNA","miRNA","ceRNA or sponge"
"26","MALAT1","miR-150","lncRNA","miRNA","ceRNA or sponge"
"27","LINC00052","miR-330-3p","lncRNA","miRNA","ceRNA or sponge"
"28","CASC15","miR-34c","lncRNA","miRNA","ceRNA or sponge"
"29","ZNF667-AS1","miR-93","lncRNA","miRNA","ceRNA or sponge"
"30","GAS5","miR-21","lncRNA","miRNA","ceRNA or sponge"
"31","DLEU1","miR-146b-5p","lncRNA","miRNA","ceRNA or sponge"
"32","GAS5","miR-26a","lncRNA","miRNA","ceRNA or sponge"
"33","SNHG5","miR-20a","lncRNA","miRNA","ceRNA or sponge"
"34","H19","miR-200b-3p","lncRNA","miRNA","ceRNA or sponge"
"35","MCM3AP-AS1","miR-34a","lncRNA","miRNA","ceRNA or sponge"
"36","NORAD","miR-190a-3p","lncRNA","miRNA","ceRNA or sponge"
"37","HOTAIR","miR-130a-3p","lncRNA","miRNA","ceRNA or sponge"
"38","SNHG1","miR-424","lncRNA","miRNA","ceRNA or sponge"
"39","MEG3","miR-21-5p","lncRNA","miRNA","ceRNA or sponge"
"40","DANCR","miR-214","lncRNA","miRNA","ceRNA or sponge"
"41","GAS5","miR-196a-5p","lncRNA","miRNA","ceRNA or sponge"
"42","CCAT2","miR-424","lncRNA","miRNA","ceRNA or sponge"
"43","CYTOR","miR-497","lncRNA","miRNA","ceRNA or sponge"
"44","GACAT3","miR-497","lncRNA","miRNA","ceRNA or sponge"
"45","PVT1","miR-424","lncRNA","miRNA","ceRNA or sponge"
"46","PVT1","miR-26b","lncRNA","miRNA","ceRNA or sponge"
"47","SNHG1","miR-195","lncRNA","miRNA","ceRNA or sponge"
"48","LINC00313","MIR422A","lncRNA","miRNA","ceRNA or sponge"
"49","SNHG1","miR-101","lncRNA","miRNA","ceRNA or sponge"
"50","UCA1","miR-206","lncRNA","miRNA","ceRNA or sponge"
"51","MALAT1","miR-206","lncRNA","miRNA","ceRNA or sponge"
"52","MALAT1","miR-145","lncRNA","miRNA","ceRNA or sponge"
"53","MALAT1","miR-124","lncRNA","miRNA","ceRNA or sponge"
"54","H19","miR-193b-3p","lncRNA","miRNA","ceRNA or sponge"
"55","ROR1-AS1","MIR4686","lncRNA","miRNA","ceRNA or sponge"
"56","ZEB1-AS1","MIR23C","lncRNA","miRNA","ceRNA or sponge"
"57","SNHG7","MIR186","lncRNA","miRNA","ceRNA or sponge"
"58","LINC00460","miR-338-3p","lncRNA","miRNA","ceRNA or sponge"
"59","LINC00173","miR-490-3p","lncRNA","miRNA","ceRNA or sponge"
"60","MIAT","miR-495","lncRNA","miRNA","ceRNA or sponge"
"61","SBF2-AS1","miR-361-5p","lncRNA","miRNA","ceRNA or sponge"
"62","IFNG-AS1","miR-627-3p","lncRNA","miRNA","ceRNA or sponge"
"63","HOTAIR","miR-217-5p","lncRNA","miRNA","ceRNA or sponge"
"64","SNHG7","miR-5059","lncRNA","miRNA","ceRNA or sponge"
"65","HAGLR","miR-147a","lncRNA","miRNA","ceRNA or sponge"
"66","XIST","miR-200b-3p","lncRNA","miRNA","ceRNA or sponge"
"67","LINC00477","miR-128","lncRNA","miRNA","ceRNA or sponge"
"68","SNHG12","miR-320","lncRNA","miRNA","ceRNA or sponge"
"69","NEAT1","miR-128","lncRNA","miRNA","ceRNA or sponge"
"70","CYTOR","miR-107","lncRNA","miRNA","ceRNA or sponge"
"71","CTBP1-AS","miR-940","lncRNA","miRNA","ceRNA or sponge"
"72","LINC00319","miR-423-5p","lncRNA","miRNA","ceRNA or sponge"
"73","SNHG17","miR-124-3p","lncRNA","miRNA","ceRNA or sponge"
"74","SNHG16","miR-140-5p","lncRNA","miRNA","ceRNA or sponge"
"75","LINC01224","MIR2467","lncRNA","miRNA","ceRNA or sponge"
"76","SNHG7","miR-324-3p","lncRNA","miRNA","ceRNA or sponge"
"77","HAGLR","miR-217","lncRNA","miRNA","ceRNA or sponge"
"78","NORAD","miR-202-5p","lncRNA","miRNA","ceRNA or sponge"
"79","HOTAIRM1","miR-20a","lncRNA","miRNA","ceRNA or sponge"
"80","HOTAIRM1","miR-125b","lncRNA","miRNA","ceRNA or sponge"
"81","HOTAIRM1","miR-106b","lncRNA","miRNA","ceRNA or sponge"
"82","RPSAP52","MIR15A","lncRNA","miRNA","ceRNA or sponge"
"83","RPSAP52","MIR15B","lncRNA","miRNA","ceRNA or sponge"
"84","RPSAP52","miR-16","lncRNA","miRNA","ceRNA or sponge"
"85","XIST","miR-149-3p","lncRNA","miRNA","ceRNA or sponge"
"86","PVT1","miR<U+2011>16","lncRNA","miRNA","ceRNA or sponge"
"87","NNT-AS1","MIR363","lncRNA","miRNA","ceRNA or sponge"
"88","SNHG6","miR-101-3p","lncRNA","miRNA","ceRNA or sponge"
"89","LINC-ROR","miR-145","lncRNA","miRNA","ceRNA or sponge"
"90","SNHG12","miR-138","lncRNA","miRNA","ceRNA or sponge"
"91","NEAT1","MIR146B","lncRNA","miRNA","ceRNA or sponge"
"92","UCA1","miR-135a","lncRNA","miRNA","ceRNA or sponge"
"93","FENDRR","miR-761","lncRNA","miRNA","ceRNA or sponge"
"94","MEG3","miR-93","lncRNA","miRNA","ceRNA or sponge"
"95","TUSC7","miR-23b-3p","lncRNA","miRNA","ceRNA or sponge"
"96","PCAT1","miR-326","lncRNA","miRNA","ceRNA or sponge"
"97","LINC-ROR","miR-133","lncRNA","miRNA","ceRNA or sponge"
"98","RPSAP52","miR-15a/15b/16","lncRNA","miRNA","ceRNA or sponge"
"99","SNHG3","miR-196a-5p","lncRNA","miRNA","ceRNA or sponge"
"100","DANCR","miR-145","lncRNA","miRNA","ceRNA or sponge"
"101","MIR155HG","MIR802","lncRNA","miRNA","ceRNA or sponge"
"102","CDKN2B-AS1","miR-411-3p","lncRNA","miRNA","ceRNA or sponge"
"103","UCA1","miR-143","lncRNA","miRNA","ceRNA or sponge"
"104","SNHG12","miR-424-5p","lncRNA","miRNA","ceRNA or sponge"
"105","NEAT1","miR-29a-3p","lncRNA","miRNA","ceRNA or sponge"
"106","NEAT1","miR-101","lncRNA","miRNA","ceRNA or sponge"
"107","CCAT2","miR-216b","lncRNA","miRNA","ceRNA or sponge"
"108","MALAT1","miR-194-5p","lncRNA","miRNA","ceRNA or sponge"
"109","HCP5","miR-203","lncRNA","miRNA","ceRNA or sponge"
"110","CCDC26","miR-203","lncRNA","miRNA","ceRNA or sponge"
"111","ROR1-AS1","MIR504","lncRNA","miRNA","ceRNA or sponge"
"112","CASC15","miR-101-3p","lncRNA","miRNA","ceRNA or sponge"
"113","DANCR","miR-216a-5p","lncRNA","miRNA","ceRNA or sponge"
"114","MIAT","miR-150-5p","lncRNA","miRNA","ceRNA or sponge"
"115","MIAT","miR-150","lncRNA","miRNA","ceRNA or sponge"
"116","ZFAS1","miR-193a-3p","lncRNA","miRNA","ceRNA or sponge"
"117","DLEU2","miR-337-3p","lncRNA","miRNA","ceRNA or sponge"
"118","FLVCR1-DT","miR-458-5p","lncRNA","miRNA","ceRNA or sponge"
"119","UCA1","MIR15A","lncRNA","miRNA","ceRNA or sponge"
"120","CASC2","miR<U+2011>155","lncRNA","miRNA","ceRNA or sponge"
"121","NEAT1","miR-107","lncRNA","miRNA","ceRNA or sponge"
"122","GAS5","miR-23a","lncRNA","miRNA","ceRNA or sponge"
"123","LINC00963","miR-128-3p","lncRNA","miRNA","ceRNA or sponge"
"124","OIP5-AS1","miR-30c-5p","lncRNA","miRNA","ceRNA or sponge"
"125","MALAT1","miR-200c","lncRNA","miRNA","ceRNA or sponge"
"126","LINC01139","MIR1262","lncRNA","miRNA","ceRNA or sponge"
"127","NEAT1","miR-124","lncRNA","miRNA","ceRNA or sponge"
"128","FOXD2-AS1","miR-195","lncRNA","miRNA","ceRNA or sponge"
