Node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,NodeType
NEAT1,-0.03462556,-0.095782764,0.058140386,-0.1211502,0.022099538,0.0478105,0.07340815,0.0008362216,0.008513086,-0.0019393647,0.009948546,-0.17321505,0.002796697,-0.045747165,0.07873686,-0.100313544,-0.033772524,0.026269948,-0.031266913,-0.09104079,0.061666664,-0.02916778,0.040586993,-0.0134893395,-0.032773588,0.039543025,0.033602726,0.024992151,0.04310014,-0.031630956,-0.008515594,0.03959862,0.0128507335,0.088974416,0.069939196,-0.03555352,0.011454796,0.14907236,0.030538749,-0.032862816,-0.08700581,-0.052456345,0.024374472,0.0645123,-0.0392201,-0.017652355,0.08668718,-0.07861327,-0.109402016,-0.09284822,-0.0041507967,0.0021447272,0.0015569534,0.14268743,-0.013435501,-0.006292658,-0.0810491,-0.034754638,-0.054952644,0.0048656864,0.0048564672,-0.039255988,0.025820177,0.10524896,-0.030720796,0.109509856,-0.018479757,0.008255075,-0.005287085,-0.07357187,-0.11111955,0.010621825,-0.046573665,-0.02344768,0.015614947,-0.025855552,0.097156756,0.07996083,-0.03016775,-0.006786476,-0.102226906,-0.04552572,0.18881145,0.052657202,-0.019205362,-0.10167237,-0.018241687,-0.0090378905,-0.110908516,-0.10362954,-0.0012373913,-0.048520826,-0.04538483,0.014338689,-0.0029097553,0.06082962,-0.16238753,0.17704135,-0.07347157,0.046496335,-0.028635358,0.07155519,0.08323282,-0.16603601,0.017612804,0.14836945,0.13114548,0.025458395,0.036741056,0.102649465,0.12665223,-0.070322506,-0.009740505,-0.053391717,-0.19088155,-0.051019665,0.14805076,0.162424,-0.03396048,-0.045456156,0.48848262,0.0052946857,-0.06857947,0.0038476172,0.11533089,-0.020020988,0.17848715,-0.23121841,lncRNA
LINC00460,-0.050106592,0.107575394,0.06951141,-0.12308903,0.14300732,-0.20249389,-0.11451627,0.051742084,0.08268772,-0.0173923,-0.02363823,-0.038764566,-0.022310222,0.12620819,-0.013328852,0.08129527,0.1656709,-0.036609612,0.020777423,0.07922495,0.10403883,-0.13496682,-0.041014876,-0.18131316,-0.07908647,0.04485212,0.0071119536,-0.080278054,-0.08487383,0.05107385,0.006542196,-0.072897024,-0.098561056,-0.044060133,0.07985147,-0.020527877,-0.124002494,0.016934453,-0.004297853,0.11056565,0.10220851,-0.054535765,0.09680049,-0.020379515,0.061488185,-0.009695917,0.059218526,-0.10665155,0.071068175,-0.06690538,0.1779312,-0.15008375,0.06319338,-0.09494516,-0.14755966,-0.16981845,0.026530208,-0.14086197,0.036955137,-0.043147024,-0.03886852,-0.21128635,-0.063251734,-0.048126455,-0.11792384,0.100993834,-0.017124569,0.0038019747,0.13207017,0.10899294,0.23166697,-0.20315817,-0.17401917,-0.17109567,0.02207301,-0.0023074232,0.026683358,0.045531623,-0.07770383,0.18145417,0.15274711,0.019479932,-0.052365344,0.04411107,-0.06980665,0.08049144,0.123243965,0.14209661,-0.027047247,-0.07887483,0.19929121,-0.13629203,-0.09192475,-0.052023266,-0.024945673,0.14281431,-0.043477282,-0.107191205,0.09912136,-0.05301064,-0.09103198,-0.09615915,-0.027695872,0.08875054,0.007477194,0.0385848,0.020698534,-0.21686573,0.077443525,-0.021396557,-0.01189067,-0.011070333,-0.12709755,0.048999432,-0.011763254,0.08776917,-0.11373088,0.0988739,-0.040855687,-0.03265217,0.04904257,0.22652052,0.087405086,-0.025858028,-0.04296538,-0.03872342,0.07821987,0.03720589,lncRNA
MALAT1,0.01027122,0.039299726,0.09052051,-0.007686546,-0.05740631,-0.04713352,-0.017334398,-0.06713906,0.012896058,0.043923527,-0.02017073,0.05184148,0.017202724,-0.07287485,0.094615765,0.07408596,-0.06291412,0.06357528,-0.00086321624,0.024594976,0.025031552,0.0104164025,0.08078108,-0.05435391,0.10409293,0.10857108,0.08109382,-0.009230429,0.03358626,0.006102194,0.022582302,0.002864123,0.016290043,-0.035680283,-0.04468118,0.10317938,-0.041623954,-0.05424549,-0.033325244,-0.013295827,-0.036953844,0.014331982,-0.009878479,0.01105652,-0.07940396,0.0033549275,0.04180544,0.08569044,0.06373594,0.037285108,-0.043678276,0.02071571,-0.102221355,-0.047271743,-0.007392299,-0.029242957,-0.005363639,-0.026541134,-0.092141435,0.00924973,-0.111683846,-0.10812764,-0.15366569,-0.05245583,-0.12243814,-0.003345566,-0.00022815319,-0.03781111,0.1017201,0.009674992,0.044309042,-0.109545745,-0.028326645,-0.019384341,-0.02893578,0.004939735,-0.010453522,-0.102696754,-0.10640594,-0.0070583504,-0.038982235,0.065464,-0.025419684,0.038408294,-0.021895442,0.06790781,0.042289976,0.10530447,-0.0020356353,0.044841886,0.015841033,0.03484134,0.060629368,-0.022860313,-0.0072454433,0.05105014,-0.08527421,-0.095254555,-0.06864075,0.06891146,-0.060805067,-0.0066680913,-0.019820338,-0.030782362,0.006281606,0.0821266,-0.0065502487,-0.06194338,-0.02001618,0.086703986,0.08019443,-0.018934984,-0.03612788,0.025340157,-0.0039888592,-0.06377238,-0.030503334,-0.022585379,0.006742721,-0.023642076,-0.007577012,-0.012991672,0.018248206,0.015547364,-0.045716316,0.109823756,0.15200946,0.06996239,lncRNA
MIAT,0.09394216,0.12894653,0.044721432,0.11299745,-0.00031520182,-0.065471075,0.0152917495,0.11925273,0.028607212,-0.03790992,-0.056174077,-0.04214823,0.34801137,-0.00524937,0.014571278,-0.11554276,0.10142143,-0.0207154,-0.049869973,-0.0012107501,0.05620101,0.03832408,0.047559857,0.0645906,0.08769681,-0.06593508,0.12289559,-0.003892129,-0.10612638,0.07985607,0.015506819,0.13787924,-0.012565095,0.03981588,-0.047928106,0.009567162,-0.037104614,-0.032868776,0.07422907,0.21443795,0.074071825,0.06757223,-0.067950286,0.11788473,-0.10155172,-0.030326039,0.16580503,-0.007338697,-0.0509709,0.1627584,-0.08342269,-0.05695413,0.0140714245,0.04261313,-0.10737318,-0.08794972,-0.14725757,-0.31559333,0.056432933,0.095623665,0.031952675,0.22845018,-0.054968752,0.00802148,-0.068774775,0.09946265,0.00845594,0.054179724,0.07914165,-0.12005733,-0.10592108,-0.07760709,-0.09138509,-0.19773526,0.12863036,0.0050026434,-0.21596223,0.31895798,0.13779609,-0.08715808,-0.12820853,-0.01496354,0.07634132,-0.057064645,-0.1538207,-0.012289982,0.04120074,-0.15443356,-0.119028,-0.011708579,0.03486765,0.012636623,0.075219184,-0.09368363,-0.036134053,0.10453434,-0.060364775,0.03818813,0.02884137,0.03317854,-0.008859033,0.12886085,-0.15794721,0.0034296475,0.09912286,-0.12837815,0.004952529,0.08829767,-0.016030885,0.16930418,0.10293754,0.12598817,0.18550839,-0.10268875,-0.012779026,0.12684412,-0.0040217894,0.03385213,-0.26931036,0.047126234,-0.08784363,-0.050270382,-0.09932323,-0.12179144,0.026362045,-0.0071122902,0.16698621,-0.030882167,lncRNA
CDKN2B-AS1,-0.03668036,0.0625734,0.056815945,0.11811802,-0.0036271196,-0.11311728,0.11336219,0.07872879,-0.08084793,0.044399645,-0.16461128,0.012385714,0.059128094,-0.014524418,-0.045979295,0.005895245,0.0095685385,-0.09872044,0.05103022,-0.12536366,0.025900386,0.004570204,0.13517025,0.029875876,0.08453098,0.09473526,0.003680186,-0.05563487,0.04186355,-0.112837724,0.034511905,0.004138477,0.07917723,-0.12789463,0.11293081,-0.006105455,-0.029575134,0.009473105,-0.0004467797,-0.023232032,-0.15300985,-0.18914823,0.2154443,-0.05474878,0.12242302,0.023304014,0.18966067,-0.12917623,0.10682458,0.07441016,0.13436133,0.047670297,-0.08101352,-0.004785183,-0.024559224,0.115245454,0.015309917,-0.048356645,0.03144391,-0.1574054,0.016997587,-0.016918646,0.0005631943,0.14698309,0.08144082,-0.027672708,0.10231217,-0.056122843,-0.04611163,-0.00748742,0.041283265,-0.1782803,0.10377957,-0.14542069,0.010428447,-0.04530242,0.0012459736,-0.051541843,0.007769976,-0.1101164,0.00989422,0.052135475,-0.053091407,0.24251446,0.043415494,0.050460324,-0.030573267,-0.0069801817,0.013901051,0.0046314923,-0.041731536,0.012448458,-0.0028611883,0.045994263,-0.04860202,-0.044094894,0.053873543,0.1637448,-0.0047040973,-0.022215148,0.0039334907,0.0856289,-0.016562194,-0.08201929,0.016259527,0.0054199984,-0.037389394,-0.019929677,-0.04083996,-0.0035141187,0.028426893,0.00025358982,0.04681986,0.19981122,-0.03873127,-0.0014716202,-0.05915418,0.07168939,0.009575218,0.027793985,-0.028739227,-0.19695023,-0.09293964,-0.0701551,-0.07820196,0.12849684,0.052187957,-0.09241869,lncRNA
GAS5,-0.19012982,0.09672005,0.08753975,-0.08469588,0.01178786,-0.073780805,0.032669615,-0.14297263,0.08832279,-0.035160866,-0.015102283,0.11707319,0.09016602,0.09887756,-0.10219072,-0.04339355,0.0237582,-0.08640043,-0.040246952,-0.091547884,0.03570893,0.045819763,-0.23482679,-0.04614504,0.072807565,0.055481236,0.107256114,-0.028991986,-0.13948205,-0.1366901,-0.02230769,-0.039897885,-0.10595821,-0.02774791,-0.052602626,-0.14120881,0.017818328,0.055096783,0.017788943,-0.07211139,-0.18005973,0.09038866,0.09017981,-0.025632106,0.03608186,-0.032140486,0.12173462,-0.08327918,-0.06355046,0.07198763,0.108496845,0.05734615,-0.04256746,0.0101933805,-0.13468266,-0.058892183,-0.0922611,0.0029412534,-0.05671335,-0.008987893,-0.0010032286,-0.120195076,-0.09497908,-0.06762294,-0.11657779,-0.08793736,0.028900044,-0.020123707,-0.035281017,-0.14449841,-0.122853994,-0.10804575,-0.02049742,0.050262477,0.008712286,-0.051882118,0.036318284,0.03373514,-0.02156212,-0.037439816,-0.009978199,0.09547787,-0.07782228,0.07601457,0.048898876,0.11171395,-0.15322031,0.007371973,0.0646781,0.12352377,-0.09076036,0.0077603958,-0.0025906973,-0.08097693,0.120096065,0.007485197,0.15172556,-0.060174022,-0.03568894,-0.032075692,0.026195562,-0.02756805,-0.07095223,-0.11642806,0.09116068,0.029715952,0.11411446,0.058676295,-0.013444653,0.10108389,-0.10207453,-0.0023045451,0.040311057,0.050939225,-0.19053279,0.081943706,0.002439246,0.010300813,0.17584741,0.10735627,0.017142247,-0.06850663,0.11222095,-0.09311032,-0.18469782,0.04096638,0.029310629,-0.106612265,lncRNA
CASC2,-0.057425093,-0.01976072,0.014811118,-0.21532205,-0.04942761,0.021263503,0.005679432,0.064326584,0.052208453,-0.12474585,-0.072748095,0.009843169,-0.0070658782,0.099030785,0.017552797,-0.0073268395,0.00027138804,-0.03925049,-0.16588455,0.120397694,-0.056498893,0.04295314,-0.023222057,-0.035608176,-0.09865222,0.06116534,-0.0006234694,0.08226186,-0.04334279,0.008326372,0.017959252,-0.102254234,0.00029095914,0.12641631,-0.1672365,0.08126806,-0.08975605,0.047870584,0.07984987,0.14277627,-0.044412974,0.12727334,-0.14548962,0.09745631,-0.06601776,0.011920178,0.1141229,-0.11430285,0.0724353,0.04826146,0.24249311,-0.0068692993,-0.14865915,0.040061627,-0.1401134,-0.004405782,-0.033942644,0.089978695,-0.023898134,0.18073453,-0.07482632,-0.012420077,-0.015233774,-0.013206361,-0.05744262,0.034770075,-0.043046027,-0.08238479,-0.07526319,-0.14964521,-0.09844492,-0.07451023,-0.021346737,-0.076426,-0.12032095,-0.04284407,0.047737047,0.019560248,-0.14605266,-0.057942398,-0.09440398,-0.055060163,0.092164345,0.009319325,-0.0109514,-0.030800479,-0.121458985,0.14308275,-0.090853944,0.003145776,0.15790437,0.22636296,-0.06181105,-0.09507626,0.08576742,0.0845055,0.006490413,-0.010568884,0.030903067,-0.007310246,-0.062035948,0.029859928,0.048646573,-0.01830811,0.035982464,-0.09273018,-0.12253775,0.20789903,0.015641775,0.024501333,0.06537686,-0.1538495,-0.068053044,-0.073973216,-0.046401676,-0.06318582,-0.019985251,0.00011696096,0.06554455,0.07620576,-0.011724201,0.03638066,0.08868061,-0.1999528,0.057359736,0.015708784,0.099463575,-0.10822801,lncRNA
PCED1B-AS1,-0.050725237,8.676376e-05,0.109811276,-0.016142499,-0.17405838,0.036330055,-0.2168033,-0.029780611,-0.13227235,0.09962517,0.008760847,0.023161715,0.010676867,-0.0939541,0.1985584,-0.0868771,-0.058130596,-0.13800903,0.106223635,0.1574004,-0.138548,-0.21126336,-0.09547768,0.15790936,-0.0017319747,0.110240996,-0.021259801,-0.3675473,0.21308729,0.19944414,-0.032180905,0.08206922,0.0028542269,0.15358758,-0.34585312,-0.08183183,0.23433131,0.071811326,-0.026573792,0.0024270148,-0.18484202,0.13733888,-0.038887292,0.002582256,0.18263152,-0.05246966,-0.14062338,-0.0015653132,0.25345883,0.053371,-0.026767569,0.030486623,0.042510763,-0.08949969,0.02581658,-0.08281303,0.3519225,-0.030609041,-0.15404542,0.13301039,-0.18898213,-0.03709072,-0.011644973,0.062153254,-0.123657376,-0.087207325,0.047725983,-0.07896441,0.07048769,0.046768773,0.085555576,-0.050640266,-0.07082395,-0.057796635,0.030084163,-0.04475013,-0.0105809495,0.045365024,0.029033845,-0.032044396,0.20796627,-0.1157414,0.09051435,0.011139835,0.056573525,-0.07132929,-0.059897345,0.13709337,0.061973453,-0.05536721,0.0047804425,0.027455596,0.030848764,0.024048407,0.049988624,-0.0129876295,0.14908543,0.26864603,0.15925245,-0.049900696,-0.14953342,0.015102497,0.20140605,-0.24363692,-0.47300726,-0.23613939,-0.03201522,-0.0477197,0.17524149,-0.0072816405,-0.09197454,0.14291821,0.046003126,-0.03243451,0.021376034,0.103188716,-0.07257998,0.10627349,-0.028822964,0.24136387,-0.03884579,0.01976465,-0.009123875,-0.44173312,-0.15832621,0.035205115,0.27004123,-0.43975005,lncRNA
LINC00662,-0.1200175,0.060663518,-0.11398118,0.04436067,-0.070540264,0.2495657,-0.10588357,-0.035119947,0.09905499,-0.05613327,0.021894787,-0.2093075,0.005042708,-0.08458602,0.014528885,0.1291044,-0.08403004,-0.10456117,-0.15424925,-0.15352319,-0.069531575,0.027097961,-0.13279888,-0.020350032,-0.07260302,-0.08926973,0.058610518,0.14091401,0.09549282,-0.0024051717,0.043313883,-0.052434515,0.057697866,-0.20690997,-0.016995542,0.13140436,-0.0867739,0.054391824,-0.23920746,0.087453485,0.030984718,-0.03013614,0.013123954,0.41025105,0.08026959,0.104392655,0.032441627,-0.12685978,0.00693272,-0.09988491,0.09299905,0.08438232,0.021035695,0.028821426,0.04637979,0.048771936,-0.18686667,0.0059049274,0.040281817,0.069441326,0.13532475,-0.10097183,-0.14413592,-0.0108625665,0.13069707,0.116720565,-0.20672335,-0.067861184,0.12857224,-0.014780952,0.030871356,0.17689106,0.020253792,-0.11181752,0.25162742,-0.004925891,0.10090243,0.1519032,-0.048128176,0.052523103,0.028304288,-0.16558337,-0.042621877,0.027596252,0.027415937,-0.006675084,-0.12154684,0.13579673,-0.06857022,0.055563845,-0.07475541,0.09533806,-0.15460838,-0.09688856,-0.013827664,-0.021533675,-0.0023258682,-0.1164412,0.10093935,0.033752132,0.0005511114,0.19729228,0.13961443,-0.21781717,-0.12418219,0.15798116,-0.019022018,-0.13038561,0.069684155,0.07276073,-0.052719,-0.11940572,-0.018075664,0.16912505,0.03023837,0.2159866,-0.022809165,0.13895212,-0.010832475,-0.020318361,-0.028837638,-0.08355409,-0.08017851,-0.05311737,-0.0051730913,0.09066836,0.024557695,-0.014357571,lncRNA
SNHG6,0.090479724,0.09169461,-0.058860548,0.07799598,-0.032169595,0.03573302,-0.05025391,0.12702177,0.015387031,-0.017665269,-0.14700846,-0.05169883,0.09666052,0.099845685,0.10714424,0.028068984,-0.110269494,-0.011574544,0.095082134,-0.036959715,0.042300276,-0.04918844,-0.0032554863,-0.0943646,0.012121434,-0.09290986,-0.042916246,0.07025989,0.043865077,-0.025339518,0.14279968,-0.053614903,-0.1289164,-0.10429299,-0.1482916,0.06423533,-0.058732968,0.043002926,-0.02325916,-0.020003278,-0.014254344,-0.045018222,-0.22817926,0.17744827,-0.042876024,-0.17596222,-0.0038074977,0.0005497327,0.04213152,0.13494235,-0.06289542,0.22866766,-0.17844877,0.087660946,-0.113234624,0.04816086,-0.011259127,-0.15407526,-0.11093641,-0.14555188,0.009485279,0.08262076,0.100091755,-0.064095154,0.038521133,0.001956487,0.16657296,0.0268574,-0.016984642,-0.0072561414,0.014232819,0.028576218,-0.064730056,0.075872056,0.1572213,0.022981118,-0.1780938,-0.10566592,-0.14604002,0.010437019,-0.016575161,0.0847323,0.11551398,0.11475897,-0.11351198,-0.06408119,-0.02311196,0.048173927,0.06048669,-0.022866618,0.07912588,-0.1317137,-0.19033521,-0.0012917118,0.06572894,0.06734301,0.13549796,-0.015805533,0.1213953,-0.0077204094,-0.15169074,-0.06843988,-0.05349373,0.06980215,-0.13171515,0.0022986415,-0.031887818,-0.043084543,0.0073813703,0.045097955,-0.07554689,-0.011094725,-0.12506303,0.02820727,-0.06136264,-0.0926551,0.03365586,-0.0069498923,0.051875398,0.14525798,-0.065920606,-0.11336762,-0.04676732,-0.12872614,-0.08480767,0.10916808,0.16468942,0.09017735,lncRNA
