lncRNA,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128
NEAT1,-0.05586257,-0.0034573674,0.06491121,0.04124417,0.0414242,0.09316807,0.04216552,0.06473031,0.046307053,0.014576528,-0.046417873,0.07171562,-0.0224477,0.013572689,-0.06310323,-0.036846094,-0.016056553,-0.01571258,0.026887715,0.07367197,0.16506596,0.12485666,-0.03466021,0.011054244,0.15754795,0.06271862,-0.036330186,-0.07113359,-0.01511172,0.004627426,0.030583749,0.08557855,-0.016023494,-0.050818864,-0.044549093,-0.11292958,-0.122499615,0.015429954,0.07546029,-0.005472661,0.0028564022,-0.09102449,-0.061068602,-0.056188144,0.007641925,0.035526972,-0.095621504,0.014846153,0.02461279,0.04949943,0.05738493,-0.06713752,-0.019408816,0.021855675,-0.105183475,0.013648267,0.0358297,-0.008937162,-0.054644205,-0.13013649,-0.015473018,-0.01736378,-0.076771,-0.0018559203,-0.052958302,0.12374289,0.015521219,0.096083775,0.074927345,0.0023955242,-0.0125168925,0.017955963,0.050921764,-0.084888764,0.00459194,0.104236834,-0.0068432745,-0.031009974,-0.076819174,-0.020686768,0.07480905,-0.055367704,0.06825114,-0.016288716,-0.06624486,0.008394522,-0.07638654,0.007932383,0.06441786,0.023871645,0.031945363,-0.033819195,0.057583954,0.014283553,0.09096226,-0.050130293,-0.009876102,-0.013891378,0.07572286,0.0434788,0.052881617,0.06105194,-0.019908037,-0.071354866,0.031056527,-0.048113108,0.012447338,-0.08346075,0.17401607,0.19379671,0.018432416,0.10380821,0.012795505,0.10153116,0.039128643,0.07743167,-0.100149676,0.063270144,-0.13493715,0.041811664,0.028008541,-0.05285252,-0.016252985,0.042729586,-0.052491333,0.05230329,-0.13514805,0.030568369
LINC00460,-0.2536758,-0.05754857,-0.022377256,-0.09565978,0.08658063,0.072723635,-0.1332039,0.021687064,0.13740374,0.111156195,0.025746012,0.08227634,0.14316267,-0.19072354,0.121083185,-0.0037413272,-0.004484413,-0.13075435,-0.044132672,-0.08274312,0.0052259183,-0.0239307,-0.05845537,0.019449806,0.022258798,-0.13204734,0.08393456,0.21122497,0.012292057,0.07509988,0.06490011,0.079807885,-0.017588375,0.084930636,0.14421831,0.12537858,0.040314734,0.14734046,0.008881534,0.110824436,0.1125698,0.046556063,0.0433739,0.04534115,-0.05812551,-0.0046089767,-0.062200334,-0.2714119,0.006441449,-0.011305947,0.051943913,0.10326057,0.06735037,0.16180873,-0.34640762,-0.08070776,-0.17264472,0.004935072,-0.0674996,-0.04419378,-0.117775686,0.08194895,0.088809706,0.08835653,0.055861063,0.08090224,-0.05319189,-0.18739253,-0.008318093,-0.039285943,0.012209721,-0.102263495,-0.050131723,0.097727835,0.025174072,-0.15512848,0.07324088,0.08411943,-0.18231487,0.053946096,0.050395533,0.03244632,-0.1863135,0.053419143,0.34806564,-0.007856801,0.2529056,0.1394575,-0.11289517,0.08141508,-0.047469754,0.038250457,0.008775765,0.05315128,0.08496062,0.15559226,0.012666068,-0.13640104,-0.22253735,0.002680726,-0.06179755,-0.0068557337,-0.14061554,0.036117423,-0.10219319,-0.12361569,0.029639266,0.0207417,0.09822689,-0.056688856,-0.06387092,0.07049356,0.06288628,0.051192056,-0.17764716,-0.022713805,0.112656794,-0.037251234,0.023708202,-0.0049538417,0.015075287,-0.06865952,0.103724405,0.022465141,-0.13297299,-0.119071804,0.31850046,0.20162314
MALAT1,-0.011250962,0.017768046,0.045886192,-0.06533669,0.048536964,0.08789767,0.044327494,0.1273249,-0.002634398,-0.047683403,-0.013602268,0.11840321,-0.015172133,0.018611176,-0.18231842,0.16500418,-0.036822412,0.08218426,-0.051525682,-0.023236541,-0.15515721,-0.0065064845,-0.050708763,0.0012796315,0.027504938,0.03506424,0.091607854,0.060744394,0.002868779,-0.11008757,0.12989166,-0.024994131,-0.03773531,-0.03799483,0.010811362,-0.051156115,-0.023701632,-0.021135837,-0.04027476,0.02167227,0.019655192,-0.11118081,0.120167255,-0.020137206,-0.081785664,-0.06567221,0.025955921,0.0057438314,0.10536572,-0.06918528,-0.10017151,-0.049887724,0.056518544,-0.04296383,0.018170476,0.013152196,-0.038684703,0.12062119,0.0046433173,0.04075557,-0.013969586,0.014243517,0.007896334,-0.15836282,-0.105179004,0.0664044,0.015951693,-0.08465528,-0.022968937,-0.009298221,-0.076734215,0.06998864,0.04882222,0.00960308,-0.040698834,0.034647834,0.037434977,0.0052675717,0.046652652,-0.051363043,0.07825436,-0.0044642137,0.08166987,0.046425637,0.14312798,-0.10771281,0.029541072,-0.13115035,0.088344395,-0.0031356497,0.003951246,-0.013430533,0.0001698281,0.019622538,-0.09526464,-0.1618107,-0.005805119,-0.13105795,-0.019917332,0.1548893,0.043694705,0.08953753,-0.077496916,-0.038560912,0.012364948,0.043650087,0.13396588,-0.15096965,0.058202792,0.01643373,0.07086795,-0.033845723,0.10310501,-0.102590896,0.10049167,-0.002865475,-0.034992497,0.05309293,0.04124981,-0.043192502,-0.088159874,-0.010065032,-0.011735411,0.059166256,0.019049883,0.10694805,0.011142064,-0.04013544
MIAT,-0.20713905,-0.0051613627,0.069296665,-0.04464301,-0.02208774,-0.031525254,-0.07150146,0.12901774,0.08931995,-0.034475364,-0.09202375,0.016753469,-0.038153835,-0.023256404,-0.0400583,-0.10707929,0.083666794,-0.07563463,0.0106783,0.13617355,0.119303256,-0.020220375,-0.21516581,0.033444118,0.16966198,-0.14434971,0.029906292,0.027507076,0.048475314,-0.12709558,-0.009266163,0.18809138,-0.007991839,-0.03738895,0.06949531,0.018855788,0.10387137,-0.16789235,0.026516512,0.050531402,0.06262052,-0.08325415,0.1370268,-0.15597561,0.039956618,0.06705804,0.013101076,-0.025942525,0.021872984,-0.12678124,0.0681263,0.10676258,-0.052639686,-0.075067714,-0.007422461,0.21541885,0.023650976,0.017028578,-0.043687157,-0.12968013,0.090032324,0.11232922,0.0046234555,0.13036524,0.0038731967,-0.09204029,-0.11136408,0.15559007,0.02585016,0.034872673,-0.30210578,0.22967619,-0.11292106,-0.000825739,-0.16474555,-0.18122151,0.24495487,-0.13247752,-0.022522554,0.09363577,0.018589024,-0.05788741,0.019147428,-0.23949222,0.002306183,-0.04902757,0.10911904,0.0025729663,-0.09715905,0.06807609,0.037635934,-0.11643368,0.020037066,-0.09851984,0.053858154,0.011614382,-0.05036397,-0.10884452,-0.26676,-0.0055741835,0.2498299,-0.1656204,0.022805532,0.113857366,0.012466002,-0.15648627,-0.0318735,0.027585203,0.02493306,0.19264355,-0.09908867,0.083883196,-0.038356964,0.037463255,-0.023128178,0.004496822,0.03361004,-0.07548453,-0.026537945,0.11133708,0.05875513,0.01285,0.14647505,-0.030332364,-0.07419059,0.02591379,0.11441922,0.087170914
CDKN2B-AS1,0.05005888,-0.020029638,-0.056061167,-0.06063925,0.008322308,-0.032604422,-0.1465892,-0.015384228,-0.06324064,0.1360785,-0.2167998,0.015253768,-0.08358922,-0.061517395,0.025541225,0.14226662,0.0566954,-0.02378822,0.08567057,-0.026864253,-0.005871891,0.0152741745,-0.121762455,0.0306538,0.08006631,-0.04597818,-0.060193177,0.075354844,0.013888794,0.026831988,0.025524264,-0.14717679,-0.07414371,0.0988221,-0.07651924,-0.029338084,-0.057254937,0.007654694,-0.028150486,0.0025204734,-0.06995318,-0.057712752,-0.10927864,0.04188123,0.03466095,0.073468454,0.017871413,0.10302795,0.18087192,-0.013728256,-0.11623883,-0.020656629,-0.12777919,-0.026325913,0.016540162,0.0088831,0.044468552,0.015779154,-0.052044634,-0.10397149,0.06659654,0.008438688,-0.11418479,-0.11147608,-0.012229182,0.20290083,0.0865296,0.013697817,-0.11185492,0.26043844,-0.0010540935,-0.0452266,0.10814457,0.029690014,-0.0020489981,-0.04747548,0.14694132,0.032738894,0.0073523773,-0.034303047,0.01680215,0.041288894,0.034639392,0.029117426,0.059041128,-0.06907647,-0.09915043,0.10837327,-0.13677393,-0.091675416,0.075305946,-0.039138276,0.031391446,0.06445799,-0.08935941,-0.0532309,0.020331217,-0.0097197015,-0.07591951,0.107481815,0.06657037,-0.046519008,-0.1886759,0.032074295,-0.15832311,-0.058936685,0.0036992074,-0.061110497,0.04764702,-0.015122278,0.0708218,-0.05069685,-0.03296394,-0.106736414,-0.06941337,0.017693639,0.03132481,-0.06724306,0.033714227,-0.0230739,-0.10049974,0.067246854,0.059156597,-0.080324136,0.035089992,0.055459645,-0.0043579205,0.088936746
GAS5,-0.14149214,-0.11467908,-0.024924072,-0.02197486,0.013863746,-0.035598885,-0.043658853,-0.05607214,0.0036149886,-0.112037614,-0.004834592,-0.06484575,0.03776437,0.06543356,0.26198837,-0.027385829,-0.09381447,0.027940635,-0.039564215,-0.054857045,0.021541564,-0.38744852,-0.049508125,0.11593787,0.042382933,-0.038373765,0.038963195,0.025729036,-0.014923375,0.06488542,0.034224648,-0.07059692,0.090978414,0.013426253,0.022261942,0.04083429,-0.09244468,0.081677474,0.00782861,-0.06458925,0.03547141,0.051587127,0.045783047,-0.016919598,-0.04252532,-0.1664196,-0.05356642,0.11382705,0.082724065,-0.05794539,0.10509247,0.0005619705,-0.17384301,-0.019280247,0.029386329,-0.04068807,0.20050925,-0.023978679,-0.072360374,-0.05367788,-0.0006856347,0.018676475,-0.081442334,0.06278145,0.02421427,-0.071663596,0.025981694,0.14825472,-0.023716448,-0.0092590265,-0.027196178,-0.0470401,-0.045134626,-0.009277624,-0.08776437,-0.07836419,0.20336682,-0.047556568,-0.05304442,0.030648377,-0.19770926,0.016614929,0.026637787,0.09814502,0.15330164,-0.006502539,-0.07777244,0.013274902,0.0021776396,-0.0154786045,-0.06450879,-0.045735523,0.10612304,0.14267112,-0.061464965,0.17528687,-0.07007864,-0.088333316,0.0028446738,0.12377756,-0.040363513,-0.073838755,-0.018754914,-0.0456365,-0.043265108,-0.06641054,0.0872177,0.026300306,0.08994748,0.052546054,-0.03455715,0.059307754,0.08482317,0.023303084,-0.004328549,0.0644128,0.06993463,-0.20393428,0.16953348,-0.14741385,-0.053475626,0.00037599885,-0.12783512,0.10066659,-0.0073905373,0.097428694,0.05397381,0.08319448
CASC2,0.00020780726,0.037894208,0.054825097,0.11057559,0.0066693528,0.048142076,-0.056219365,0.02377493,0.031399608,0.063947335,0.0356027,-0.020181363,-0.0862314,0.011750332,0.0691314,0.09336635,-0.08488824,-0.08442561,0.021339357,-0.032963138,0.014302868,0.2002457,0.112988025,0.1806506,0.09647916,0.22543974,-0.103373304,-0.044387706,0.09823764,-0.119949654,0.026205966,0.10362925,-0.008437141,-0.1883811,-0.054955356,0.0643063,0.11905462,0.05155092,-0.15261233,0.014168346,0.14465891,0.025946397,0.008703018,0.015310317,0.041733183,-0.11655964,-0.038099416,0.09201169,-0.026433703,-0.026132714,-0.2163765,0.004437066,0.053782653,-0.0860603,0.027128978,-0.09940281,-0.17584772,0.122009195,-0.042126533,-0.15190633,-0.083637685,-0.042388447,-0.22943696,-0.036219478,-0.08680371,-0.08055257,0.07875198,-0.0032447977,-0.16406526,-0.060763873,-0.04945403,-0.15734895,-0.09965408,0.06616585,0.02842968,-0.09802903,-0.012672369,-0.07723603,-0.02063494,0.037262417,0.04358827,-0.04216774,-0.021467682,0.04936545,0.07578283,0.0012230992,-0.001692497,-0.036846217,0.059056964,0.15406759,0.07179395,0.024043422,0.0035489337,-0.014845009,0.25432348,-0.06572337,0.04099472,-0.020743614,-0.08574689,0.12469691,-0.033043206,0.04523156,-0.08741654,-0.070337206,-0.043366414,0.095887505,-0.043210063,0.05428802,-0.057404034,0.0499719,-0.0340985,0.088874675,0.024959575,0.013140414,0.08228439,0.052079767,0.012719495,-0.21516114,-0.11256298,0.03429349,0.02388854,-0.013713488,-0.047476258,-0.0017020256,0.10045763,-0.07472119,-0.027119849,-0.07517796
PCED1B-AS1,0.059698533,-0.14031257,-0.08440623,-0.0321378,-0.021506416,-0.028107354,0.074873336,0.012118391,0.12306522,0.015538145,-0.018389845,-0.09692319,0.120838806,0.14049897,-0.0714992,-0.022962509,-0.1545267,0.028735805,0.1025987,0.08743097,-0.017265346,-0.051613882,0.02679424,0.011401488,0.13028906,-0.037287228,-0.081725664,-0.04787198,0.099473625,-0.06410002,-0.30642366,0.15475844,0.17529769,0.0927504,0.021447994,-0.08,0.0067485766,-0.027483847,0.07098321,0.20584767,-0.019333417,0.005940713,-0.05571458,-0.009455027,-0.22470981,0.020917004,0.109142736,-0.04336525,0.037154842,0.008323772,-0.02869163,-0.15289666,0.072968826,-0.051898632,-0.04894092,-0.032623716,0.06317523,0.06503898,0.06653331,0.071277134,-0.04776983,-0.11620582,-0.12484102,-0.09176644,0.17664161,0.113142006,0.24025007,0.08948238,-0.07173633,-0.06520643,-0.047664735,0.06153015,0.18677361,-0.030712867,-0.162251,0.1372261,0.1001901,0.10835548,0.023690632,-0.10856125,0.099184625,-0.13672128,-0.022504952,-0.037330937,-0.08466242,-0.03375865,-0.16896586,0.19722585,-0.04462251,0.13506906,0.15116118,0.07101623,0.09187182,-0.060273618,-0.06525244,0.15772296,-0.106227696,0.13037732,0.12701418,-0.029133588,-0.060453586,-0.17804469,-0.013314565,-0.024623366,-0.030965222,0.013471803,-0.09472744,-0.09995923,0.113028005,-0.12739657,0.081678085,-0.055385713,-0.09789031,-0.07316199,0.19423033,0.20433074,0.0062678335,-0.045499157,-0.078807406,0.12239296,0.16572028,-0.08649611,0.11274815,-0.011150908,-0.24804623,-0.0012602699,-0.1149893,-0.09558021
LINC00662,-0.13322382,-0.042660438,-0.0811398,-0.08871073,-0.0443593,-0.009463877,0.14821745,-0.25112826,-0.06298537,0.008642585,0.1228858,0.05285539,0.06037438,-0.06959235,-0.008012494,0.019690858,-0.124382235,0.03676565,0.04658881,-0.08331615,0.11846129,-0.10367254,-0.082607724,-0.14795291,0.016878866,-0.08682636,0.08587425,0.013735688,0.08025841,-0.007680001,-0.036872514,0.09842051,0.05291427,-0.10817156,0.121345855,0.1110772,-0.05345599,-0.03511512,0.01270042,-0.008923454,0.045564976,-0.06897967,-0.09352511,-0.04155089,-0.09359926,-0.082447395,0.08205261,-0.044710018,-0.23649155,0.20508693,0.16679962,-0.00758632,0.11631222,-0.006576939,-0.053277615,0.02659412,-0.05068979,-0.11718367,-0.055668898,0.05860111,-0.036544103,-0.10312431,-0.04137204,-0.08905881,-0.042245887,0.37072062,0.10437563,-0.060021266,0.076593384,-0.21431169,-0.09858316,-0.055886168,-0.05021788,-0.10352848,0.11687259,0.1448795,-0.14563024,0.0103715835,-0.008818921,-0.009349795,0.23565105,-0.057128623,-0.23312971,-0.14946124,-0.13134934,-0.058512278,-0.28869686,0.061712515,0.04145318,-0.02092985,-0.029823689,-0.0824423,-0.17712083,0.005193966,-0.3138226,0.057800252,-0.02201605,0.053910125,0.03369353,-0.04790775,0.032129295,0.03565487,-0.043859687,-0.011762113,-0.05994129,0.019766416,-0.024718767,0.1907816,0.03604894,0.005166301,-0.0017026231,-0.20188867,0.008123045,0.008013931,0.10504095,-0.021627195,-0.100477,-0.007047495,0.007911289,0.058884304,0.016010433,0.15646711,-0.025255134,0.198687,0.09122435,0.09656656,0.011430364,-0.09683932
SNHG6,-0.017186897,0.063284904,-0.00037145242,-0.09827234,-0.07521985,0.14824194,-0.07326886,-0.099945925,-0.018807692,-0.14509928,0.038949613,0.08455673,-0.07632709,0.030769512,0.018112542,0.22663291,0.06699905,-0.0113944635,-0.05826719,0.123349056,0.154415,-0.048161354,0.09693946,0.20570298,-0.025555566,-0.03588082,0.084459454,-0.095947064,-0.080607064,0.019672377,0.06247704,0.023012517,0.0020205085,-0.05837976,-0.08251814,-0.046535794,0.09326319,-0.10498551,-0.010357205,0.0990426,-0.1407284,0.00357537,0.024414906,0.07113821,0.09534964,0.057320327,-0.047797397,0.099174485,0.05683999,0.15340841,-0.10339218,0.032481853,-0.10955797,-0.17887501,-0.04321661,-0.022877723,-0.036167245,-0.11627942,-0.20705082,0.06274762,0.18536353,0.037487723,-0.12650035,0.072082095,-0.017130487,-0.05749799,0.039615788,-0.032330807,0.039305814,-0.007719635,-0.1323152,0.09222891,0.22167648,-0.06113005,-0.23934798,0.038751554,0.057183895,0.11385666,-0.050184812,-0.20718539,0.036190603,-0.09376983,0.030445287,0.13649324,0.057593312,-0.055378336,0.00710921,-0.08346515,0.14041191,-0.053251293,-0.054535177,-0.08009053,0.097473785,0.039270528,-0.09432988,-0.08959734,-0.10931513,0.15146813,-0.08216029,-0.010834821,0.1084981,-0.2146354,0.0038913097,-0.16941142,-0.088644885,-0.106673986,0.13878079,-0.0033314815,-0.09128695,-0.107211456,-0.053755637,-0.1704071,-0.045318507,-0.058204822,0.15908551,-0.032002002,0.17197977,-0.06532321,-0.115329556,-0.040045306,-0.030042043,0.09194605,0.10934909,-0.04766247,0.018154267,-0.007565034,0.0477332,-0.0020151467
